"","Timestamp","Please choose your MASTER programme","Have you ever been TRAINED on reproducible research practices?","If you answered YES in the previous question, tell us HOW? If NO skip this question","In your own words, can you NAME some concepts, terms or principles of reproducible research?","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Open access]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Open data]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Open source]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Intellectual property rights]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Data/code versioning]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [License]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Computational essays]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Digital notebooks]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Analytical workflows]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Execution environments]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Reproducible packages]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Collaborative coding repositories]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Code repositories]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Data repositories]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Containers platforms]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Citizen science]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Science blogging]","Imagine that you are going to explain the following terms to somebody else. How well do you KNOW them? [Science dissemination]","Have you ever experienced DIFFICULTIES IN REUSING somebody else’s code / data?","Have you ever had to REUSE YOUR OWN past code/data?","If you answered YES in either of the last two questions, please explain which were the MAIN DIFFICULTIES you experienced. If NO, skip question","Do you know where to look for HELP and extra information to make your research reproducible?","Please rate the perceived IMPORTANCE of doing your research in a reproducible way","According to you, why is it IMPORTANT (or not) to do your research in a reproducible way?","What tools do you plan to use to ANALYSE data?","What tools do you plan to use to VISUALISE/PLOT data?","What tools do you plan to WRITE UP your master thesis or conference/journal article?","What is your (expected) process of GETTING the summary data, statistical results, figures, maps and tables IN your master thesis document (or conference/journal article)?","What BACHELOR DEGREE (or equivalent) did you have when applying for the master programme?","How many years of PROFESSIONAL EXPERIENCE did you have when applying for the master programme?","In which context are you DEVELOPING your master thesis?","Please select which sentence better describes the PLAN you have after the completion of your Master thesis","id","input_data","preprocessing","methods","computational_environment","results"
"1",2019-10-22 14:12:01,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"Obtaining same results by third person using same methodolgy.
Methodolgy can be used in similar case studies.
Clearly stating replacable perameters in methodolgy.
No hidden procedures.","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I can easily define what exactly this term means and I use it myself","I have never heard of this term","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have heard this term before, but I have a vague idea of what it is","I have never heard of this term","YES","YES","Recalling the work flow of code was difficult especially when i used multiple classes and libraries. Code comments do help but only for limited code. Proper documentation was missing for my codes.","no",3,"Reproducibility is good in most cases but there are some research projects that should be not so open due to confidentiality and also to protect interests of researchers. If the research result is a kind of product then openness and reproducibility will give no benifit to the researcher.","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","Saving objects as files and inserting (e.g. figures as files)","Computational Physics","Over 2 years","At the university","Not sure yet",1,NA,NA,NA,NA,NA
"2",2019-10-23 13:36:57,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","YES","Part of a Master Course","Make your work be fully reproducible without additional information. Ml","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","YES","YES","To get the idea of what is done in each step of the workflow.","A bit.",4,"If the work is reproducible, the value is significantly higher as it can be used without much more work by others. This enables improvements of the idea and process.","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Latex","Saving objects as files and inserting (e.g. figures as files)","Bachelor of engineering","None","At the university","Not sure yet",2,2,2,2,2,1
"3",2019-10-23 18:29:28,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"flow of idea, code, literature review, future work","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I can easily define what exactly this term means and I use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have never heard of this term","YES","YES","Problem of using static code in dynamic code.","No.",5,"To pursue with research works and participate in conferences.","Coding (R, python, etc)","Coding (R, python, etc)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","writing code to access web services","Information Technology(Engineering)","Up to 2 years","At the university","Continue with doctoral studies (or another master degree)",3,2,2,1,2,2
"4",2019-10-23 19:22:27,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"re-creating other results based on current and existing methodology, or by proposing new methodology in the same study","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I have never heard of this term","I have never heard of this term","I have never heard of this term","I have never heard of this term","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","NO","NO",NA,"No, i dont know",5,"Ability to obtain similar results on research objective or questions independent on the study or even experiment","Excel / Numbers (mac) / Calc (Open Office) / Google sheets (or similar)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","Copying and pasting from one tool to another, Saving objects as files and inserting (e.g. figures as files)","BCS in Computer science","Over 2 years","At the university","Continuing in my previous job (teaching GIS in university)",4,2,2,2,2,1
"5",2019-10-24 14:36:08,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"Re-usability, Re-applicable in other case studies or, potential future enhancements.","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I can easily define what exactly this term means and I use it myself","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","YES","YES","Most time consuming part is understanding others code if they are not properly commented.
Even in my code sometimes my own comments are tough to recall later.","No",5,"Re-usability is one of the key step to move forward research words.
Ease to understand other words in a scientific manner will help definitely.","Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","Copying and pasting from one tool to another, Saving objects as files and inserting (e.g. figures as files)","Bachelor in Computer Science and Engineering.","Over 2 years","At the university","Find a job in academia (researcher, technician, etc) or in education-related institutions (teacher, etc)",5,3,1,1,3,2
"6",2019-10-24 21:17:45,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","YES","Part of a Master Course","Replicable, Transparet, Underestable","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I have heard this term before, but I have a vague idea of what it is","I have never heard of this term","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","YES","YES","To underestand the flow an the logic of the code","No",4,"A research that can not be reproducible, did not have value","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper)","Latex","Writing digital notebooks to put all the pieces together and compile a final report","Geography","None","As internship in industry","Find a job in academia (researcher, technician, etc) or in education-related institutions (teacher, etc)",6,1,1,3,2,1
"7",2019-10-28 11:38:42,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"data and tools should also be available with the research methods, so that others can get the same results.","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I have never heard of this term","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I have heard this term before, but I have a vague idea of what it is","YES","YES","Code was structured to a certain tool and tool was not open. Data was not available in later time.","Only internet searches.",5,"Reproducibility is essential because the scientific results are affected by data structure, data content, processing method and presentation methods. There are more variables and reproducibility enhances proper understanding and control of research.","Excel / Numbers (mac) / Calc (Open Office) / Google sheets (or similar), Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","Copying and pasting from one tool to another, Saving objects as files and inserting (e.g. figures as files)","Bachelor in Geomatics Engineering","Over 2 years","At the university","Find a job in government agencies or institutions",7,2,2,2,1,2
"8",2019-10-28 18:46:13,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"As per my understanding, reproducible research refers to the concept of research that can be reproduced with same or similar results and accuracy when  replicated with same methodology in a different area.","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","YES","NO",NA,"Not really",5,"It would definitely be helpful, If I or someone else would like to replicate or  continue this work  in different area","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar), Latex","Saving objects as files and inserting (e.g. figures as files), Digital notebooks if I can","Bachelor in Geomatics Engineering","Over 2 years","At the university","Have to continue previous job (Government ) for some period",8,2,2,2,1,2
"9",2019-11-03 17:19:23,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"Ability for repetition of a scientific methodology","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I have never heard of this term","I am familiar with the term but it would be difficult to explain it","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I am familiar with the term but it would be difficult to explain it","I am familiar with the term but it would be difficult to explain it","YES","YES","Documentation","No",4,"It is important so as to verify the scientific workflow but not always possible due to restrictions in data.","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Excel / Numbers (mac) / Calc (Open Office) / Google sheets (or similar), Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Word / Pages (mac) / Writer (Open Office) / Google docs (or similar)","Saving objects as files and inserting (e.g. figures as files)","Urban and Regional Planning","None","At the university","Continue with doctoral studies (or another master degree)",9,3,2,3,1,3
"10",2019-11-11 08:56:49,"MSc in Geospatial Technologies (UJI, NOVA IMS, IFGI-WWU)","NO",NA,"open access, open data, open source, versioning, reproducibility,","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I am familiar with the term but it would be difficult to explain it","I can explain this term in my own words but I do not use it myself","I have heard this term before, but I have a vague idea of what it is","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","I can easily define what exactly this term means and I use it myself","I can explain this term in my own words but I do not use it myself","YES","YES","Lack of README","Not really",5,"not reproducible, means useless, and we don't know what's wrong if we run it again","Excel / Numbers (mac) / Calc (Open Office) / Google sheets (or similar), Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Statistical / GIS / visual programming tools (SPSS, ArcGIS, QGIS, Grasshopper), Coding (R, python, etc)","Markdown / Bookdown","Saving objects as files and inserting (e.g. figures as files), Create a script to generate the image, then put the script in github","Computer Science","Over 2 years","At the university","Find a job in industry (or set up own company)",10,3,3,3,3,3
